slug,Title name,company,role,Image,link
tokyo-keiki,Tokyo Keiki,Tokyo Keiki,Client,https://framerusercontent.com/images/7dk3jHvxkpLS9sZYob9BCvUbDo.png,https://www.tokyokeiki.jp/e/products/detail.html?pdid=289
hindware,Hindware,Hindware,Client,https://framerusercontent.com/images/gvx92v1JyT8PK54RwCIBzL4Llhw.png,https://hindware.com/
bajaj-electricals,Bajaj Electricals,Bajaj Electricals,Client,https://framerusercontent.com/images/4cpxhqkZHmZXp0QsbmPrSAt8hk.png,https://www.bajajelectricals.com/
wego,Weigao,Weigao,Client,https://framerusercontent.com/images/DIkXOBFKkJtsfT7ClZMybQhuZc.png,https://www.wegomedical.com/
hero-electronix,Hero Electronix,Hero Electronix,Client,https://framerusercontent.com/images/oxJsc7qUIxdH6d7XJbOvQQEao.png,https://www.heroelectronix.com/
tmmc,The Marine Mammal Center,The Marine Mammal Center,Client,https://framerusercontent.com/images/WUlSFyYs2jhnQw98Alv9VHTpCa8.png,https://www.marinemammalcenter.org/
thermax,Thermax,Thermax,Client,https://framerusercontent.com/images/SWyMI7WvbxVrjGoeJlhFBXszCRE.svg,https://www.thermaxglobal.com/
btg,Blue Tees Golf,Blue Tees Golf,Client,https://framerusercontent.com/images/W9ONkFM8qT4hkPNvXrBHBbvL6o.svg,https://blueteesgolf.com/
morphy-richards,Morphy Richards,Morphy Richards,Client,https://framerusercontent.com/images/exFWz59UU8ob2PBB1VwdTp9E.png,https://morphyrichards.com/
ambee,Ambee,Ambee,Client,https://framerusercontent.com/images/ZCDEDMalHWGTG00XIRQeDzaT0qM.png,https://www.getambee.com/
somfy,Somfy,Somfy,Client,https://framerusercontent.com/images/6R7WxLE1QMLfdXwWz5spWTxHsQ.png,https://www.somfysystems.com/en-us/
upright-education,Upright Education,Upright Education,Client,https://framerusercontent.com/images/JYZjJASzxRCyFB67yqXu2xRoCqw.png,https://huggl.framer.website/
